DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
fastly.net,ns1.fastly.net,private,NS TLD matches domain TLD,fastly.net,Critical dependency,False,1
fastly.net,ns4.fastly.net,private,NS TLD matches domain TLD,fastly.net,Critical dependency,False,1
fastly.net,ns3.fastly.net,private,NS TLD matches domain TLD,fastly.net,Critical dependency,False,1
fastly.net,ns2.fastly.net,private,NS TLD matches domain TLD,fastly.net,Critical dependency,False,1
fbcdn.net,a.ns.facebook.com,third,SOA mname points to third party: facebook,facebook,Critical dependency,False,1
fbcdn.net,b.ns.facebook.com,third,SOA mname points to third party: facebook,facebook,Critical dependency,False,1
fbcdn.net,c.ns.facebook.com,third,SOA mname points to third party: facebook,facebook,Critical dependency,False,1
fbcdn.net,d.ns.facebook.com,third,SOA mname points to third party: facebook,facebook,Critical dependency,False,1
firebaseapp.com,ns-cloud-c4.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
firebaseapp.com,ns-cloud-c1.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
firebaseapp.com,ns-cloud-c3.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
firebaseapp.com,ns-cloud-c2.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
fly.dev,ns1.flydns.net,private,"Domanin name is contained in the nameserver, signaling ownership",flydns.net,Critical dependency,False,1
fly.dev,ns2.flydns.net,private,"Domanin name is contained in the nameserver, signaling ownership",flydns.net,Critical dependency,False,1
gcdn.co,gns2.gcdn.co,private,NS TLD matches domain TLD,gcdn.co,Critical dependency,False,1
gcdn.co,gns1.gcdn.co,private,NS TLD matches domain TLD,gcdn.co,Critical dependency,False,1
githubassets.com,ns-597.awsdns-10.net,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,ns-370.awsdns-46.com,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,ns-1766.awsdns-28.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,dns3.p02.nsone.net,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,dns1.p02.nsone.net,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,dns2.p02.nsone.net,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,dns4.p02.nsone.net,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
githubassets.com,ns-1354.awsdns-41.org,third,SOA mname points to third party: aws,aws,No critical dependency,True,2
gitlab.io,maxim.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
gitlab.io,nia.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
googleusercontent.com,ns2.google.com,private,"Domanin name is contained in the nameserver, signaling ownership",google.com,Critical dependency,False,1
googleusercontent.com,ns3.google.com,private,"Domanin name is contained in the nameserver, signaling ownership",google.com,Critical dependency,False,1
googleusercontent.com,ns4.google.com,private,"Domanin name is contained in the nameserver, signaling ownership",google.com,Critical dependency,False,1
googleusercontent.com,ns1.google.com,private,"Domanin name is contained in the nameserver, signaling ownership",google.com,Critical dependency,False,1
gravatar.com,ns1.automattic.com,third,SOA mname points to third party: automattic,automattic,Critical dependency,False,1
gravatar.com,ns3.automattic.com,third,SOA mname points to third party: automattic,automattic,Critical dependency,False,1
gravatar.com,ns2.automattic.com,third,SOA mname points to third party: automattic,automattic,Critical dependency,False,1
herokucdn.com,ns03.herokudns.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,dns1.p08.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,dns4.p08.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,dns2.p08.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,dns3.p08.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,ns02.herokudns.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,ns04.herokudns.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
herokucdn.com,ns01.herokudns.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
hsappstatic.net,yolanda.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
hsappstatic.net,jerry.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
imagekit.io,ns-1393.awsdns-46.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imagekit.io,ns-241.awsdns-30.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imagekit.io,ns-876.awsdns-45.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imagekit.io,ns-1925.awsdns-48.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imgeng.in,ns-1594.awsdns-07.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imgeng.in,ns-794.awsdns-35.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imgeng.in,ns-451.awsdns-56.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imgeng.in,ns-1218.awsdns-24.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
imgix.net,ns-cloud-d3.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
imgix.net,ns-cloud-d4.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
