website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
ecatholic.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
ecdn.dk,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
echobeamradio.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ecicloud.com,apple,"{""apple"": ""private""}",False,False,False,False,"step 3, "
eclecticlight.co,twitter,"{""twitter"": ""private""}",False,False,False,False,"step 6, "
ecocart.io,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
econdos.com.br,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ecovadis.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
ecr.aws,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 3, "
ecsdk.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ecwid.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
edealer.ca,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
edexlive.com,microsoft|amazon|cloudflare,"{""microsoft"": ""private"", ""amazon"": ""third"", ""cloudflare"": ""third""}",True,False,True,True,"step 3, step 5 (SOA), step 6, "
edge-delivery-prod.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
edge.apple,apple,"{""apple"": ""private""}",False,False,False,False,"step 1, "
edgecache.live,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
edgedatg.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
edgekey-staging.net,akamai,"{""akamai"": ""private""}",False,False,False,False,"step 3, "
edgekey.net,akamai,"{""akamai"": ""private""}",False,False,False,False,"step 2, "
edgekey88.net,akamai,"{""akamai"": ""private""}",False,False,False,False,"step 3, "
edgesuite.net,akamai,"{""akamai"": ""private""}",False,False,False,False,"step 2, "
edgesuite88.net,akamai,"{""akamai"": ""private""}",False,False,False,False,"step 3, "
edisound.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
edit.site,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
editorialmanager.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
edrawsoft.cn,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 3, "
edrawsoft.com,amazon|akamai,"{""amazon"": ""private"", ""akamai"": ""third""}",True,False,True,False,"step 3, step 6, "
